taxonID,description,type,language
union-list:taxon:e75968a892a25181e92a7a16e2480191,2019-08-15,entry into force,en
union-list:taxon:49a114c68be9999ff8cb203bc418d9df,2019-08-15,entry into force,en
union-list:taxon:88fab226290e72ddf6e538d934aa58a6,2019-08-15,entry into force,en
union-list:taxon:dc1a9c7d8ecbea2c17659b65aac590ef,2019-08-15,entry into force,en
union-list:taxon:52f42b74b3d05c74023d8a75c402989d,2017-08-02,entry into force,en
union-list:taxon:b7674f5e6e0f6beed1f1360ed992f885,2017-08-02,entry into force,en
union-list:taxon:4849c38a09acc788fa58486f94c9f213,2019-08-15,entry into force,en
union-list:taxon:19adb9e2d372d7a045d8b156690d3952,2019-08-15,entry into force,en
union-list:taxon:a75a5b3dd389493da0a2d178ed1d304c,2017-08-02,entry into force,en
union-list:taxon:39645efd6ea88c7d8f4dc15682fd846f,2016-08-03,entry into force,en
union-list:taxon:4c8bc768708a70e1f8b19f3ab9ed43ee,2016-08-03,entry into force,en
union-list:taxon:0b2e3151811441f6e2acbbfb5bdc4140,2016-08-03,entry into force,en
union-list:taxon:9dae038c1d31ba59909a3334ca075932,2019-08-15,entry into force,en
union-list:taxon:b78d1f501c4a7c55a5258315914fd765,2019-08-15,entry into force,en
union-list:taxon:df0ad9c3c3a8987696999eeaa706293a,2016-08-03,entry into force,en
union-list:taxon:ac136f6187e2882d2e080368e01b2c0b,2019-08-15,entry into force,en
union-list:taxon:15ac43ee4b02bcf60227f74d8517fc44,2016-08-03,entry into force,en
union-list:taxon:2e09a2866f4457b3890927faba38c52a,2017-08-02,entry into force,en
union-list:taxon:17cfe4544afdfdeba70d61de2e7327cf,2016-08-03,entry into force,en
union-list:taxon:7160703d7486b64e70a884302467af4a,2017-08-02,entry into force,en
union-list:taxon:f2878338323f2d1cb22aaf1746d0ed22,2019-08-15,entry into force,en
union-list:taxon:af00bafde618b074f09cf3ec149ca9a7,2017-08-02,entry into force,en
union-list:taxon:1623ed3ebe2a2bfee72c835807482202,2016-08-03,entry into force,en
union-list:taxon:f11f888571d616fccca840f0553fc906,2016-08-03,entry into force,en
union-list:taxon:b870c156a2edacc94a9481757991cb88,2016-08-03,entry into force,en
union-list:taxon:381bb05ccf7c58075dbae67555bbe92e,2019-08-15,entry into force,en
union-list:taxon:487238e9d3235731e8f12cbcd01d4a35,2016-08-03,entry into force,en
union-list:taxon:51cf5ff18a396017e1252c3c45575a04,2017-08-02,entry into force,en
union-list:taxon:4314213c1e1e2d0eac734eebd9d6a6f2,2016-08-03,entry into force,en
union-list:taxon:3af71b7fed6cf5ded48f9d0ae3a5deaa,2019-08-15,entry into force,en
union-list:taxon:cd87991d909e51695ac89bc68d9482e0,2019-08-15,entry into force,en
union-list:taxon:a8b695e24272320983e2668a44901a8b,2019-08-15,entry into force,en
union-list:taxon:a16d58676096359dcd467a42c6e05ace,2016-08-03,entry into force,en
union-list:taxon:d7e8d97874af0e572e3e32eb6bae8b7b,2016-08-03,entry into force,en
union-list:taxon:5c5701252bbdefcded25a15920dbc890,2016-08-03,entry into force,en
union-list:taxon:234b55303bbec0961188169ba80d90aa,2019-08-15,entry into force,en
union-list:taxon:1a5ce47f15a3a1baab1f2339ff6e09b6,2016-08-03,entry into force,en
union-list:taxon:5edab6622287930a1d9647792b10eac5,2017-08-02,entry into force,en
union-list:taxon:2858dd69ce600e2f8de3ad8d9b7de364,2016-08-03,entry into force,en
union-list:taxon:4c90a0cc6adea286e0cfa9800b6c687f,2016-08-03,entry into force,en
union-list:taxon:1af23afca02d69627a73b1c96d716661,2016-08-03,entry into force,en
union-list:taxon:fdfdd3923b25b5a6fb86b7f3996181c5,2017-08-02,entry into force,en
union-list:taxon:496ac7b62bc71964bcbb2ce3389c3dda,2016-08-03,entry into force,en
union-list:taxon:15bb47456ffdc7d6cc73bc9b7e20501c,2019-02-02,entry into force,en
union-list:taxon:c2eceaff657f5d9ec6735f68425a605b,2017-08-02,entry into force,en
union-list:taxon:63eb39c287c2f01a66019ff34a469f19,2016-08-03,entry into force,en
union-list:taxon:05ba41c60ef652556b8ab9196756b31d,2016-08-03,entry into force,en
union-list:taxon:db216249730f55c742b48e1a46642584,2016-08-03,entry into force,en
union-list:taxon:567527f8bf8a15a3a9afeea3f3b2c648,2016-08-03,entry into force,en
union-list:taxon:46766cbfea3fbf94c8995f4d9ca05d32,2016-08-03,entry into force,en
union-list:taxon:ee330ef52fdb6375ae0223e945ccdbe3,2016-08-03,entry into force,en
union-list:taxon:5c2d10adb3fc8b43e9f6306ac50e71c3,2016-08-03,entry into force,en
union-list:taxon:2252885048cc2297c1dd5b31b917f5ca,2017-08-02,entry into force,en
union-list:taxon:2aea54bb9450b326bcab0e63f8fdefc1,2016-08-03,entry into force,en
union-list:taxon:f6080f462684f01c273ab81bc8765a2a,2016-08-03,entry into force,en
union-list:taxon:f23795a07eb65449a456cfb63c0ba87a,2016-08-03,entry into force,en
union-list:taxon:163a39867c156bbfd1725dfa0a751ac8,2019-08-15,entry into force,en
union-list:taxon:79847bb81e5180ae0645758dff35be2b,2016-08-03,entry into force,en
union-list:taxon:2ae7aa0268ac3a57f0f0d5c66055fae9,2016-08-03,entry into force,en
union-list:taxon:71faf68df58e2aa4d68f3ce282b97621,2016-08-03,entry into force,en
union-list:taxon:54c9284b5e4af193c432b03d99f0194e,2016-08-03,entry into force,en
