VernacularName,Language,SpeciesCatalogueId,Reference.Name,Reference.Url,dwc_source
Egyptian goose,,R00644,,,
Alligatorweed,,R00669,,,
Alligator weed,eng,R00669,ITIS,http://www.itis.gov/,ITIS - http://www.itis.gov/
Alligatorkraut,deu,R00669,GBIF,http://www.gbif.org/,GBIF - http://www.gbif.org/
Alligatorweed,eng,R00669,ITIS,http://www.itis.gov/,ITIS - http://www.itis.gov/
Alternanthère,fra,R00669,DAISIE,,DAISIE
Pig weed,eng,R00669,ITIS,http://www.itis.gov/,ITIS - http://www.itis.gov/
Common milkweed,,R01529,ITIS,http://www.itis.gov/,ITIS - http://www.itis.gov/
Albero della seta,ita,R01529,DAISIE,,DAISIE
Asclepia,spa,R01529,CABI,,CABI
Asclepiade,fra,R01529,CABI,,CABI
Broadleaf milkweed,eng,R01529,CABI,,CABI
Common milkweed,eng,R01529,ITIS,http://www.itis.gov/,ITIS - http://www.itis.gov/
Kaempe-silkeplante,dan,R01529,NOBANIS,,NOBANIS
Klejicha hedvábná,ces,R01529,NOBANIS,,NOBANIS
Közönséges selyemkóró,hun,R01529,DAISIE,,DAISIE
Seidenpflanze,deu,R01529,NOBANIS,,NOBANIS
Sirinis klemalis,lit,R01529,NOBANIS,,NOBANIS
Syrische seidenpflanze,deu,R01529,NOBANIS,,NOBANIS
Trojeść amerykańska,pol,R01529,NOBANIS,,NOBANIS
Vencetosigo comun,spa,R01529,CABI,,CABI
Zijdeplant,nld,R01529,NOBANIS,,NOBANIS
Ваточник сирийский,rus,R01529,NOBANIS,,NOBANIS
Groundsel bush,eng,R01830,,,
Carolina fanwort,,R02476,,,
Pallas's squirrel,,R02573,ITIS,http://www.itis.gov/,ITIS - http://www.itis.gov/
Fountain grass,,R03000,ITIS,http://www.itis.gov/,ITIS - http://www.itis.gov/
Afrikanisches lampenputzergras,deu,R03000,CABI,,CABI
Plumacho,spa,R03000,CABI,,CABI
House crow,,R04121,ITIS,http://www.itis.gov/,ITIS - http://www.itis.gov/
Water hyacinth,,R05440,,,
Nuttall waterweed,,R05501,,,
Chinese mitten crab,,R05836,,,
Chilean gunnera,,R06923,ITIS,http://www.itis.gov/,ITIS - http://www.itis.gov/
Chilean gunnera,eng,R06923,ITIS,http://www.itis.gov/,ITIS - http://www.itis.gov/
Chilean rhubarb,eng,R06923,CABI,,CABI
Chilenische gunnera,deu,R06923,CABI,,CABI
Giant rhubarb,eng,R06923,DAISIE,,DAISIE
Giant hogweed,,R07248,,,
Barszcz mantegazziego,pol,R07248,NOBANIS,,NOBANIS
Berce de caucase,fra,R07248,NOBANIS,,NOBANIS
Herkulesstaude,deu,R07248,NOBANIS,,NOBANIS
Hiid-karuputk,est,R07248,NOBANIS,,NOBANIS
Jättebjörnloka,swe,R07248,NOBANIS,,NOBANIS
Kaempe-bjørneklo,dan,R07248,NOBANIS,,NOBANIS
Kaukaasianjättiputki,fin,R07248,NOBANIS,,NOBANIS
Kjempebjønnkjeks,nob,R07248,NOBANIS,,NOBANIS
Mantegaci latvānis,lav,R07248,NOBANIS,,NOBANIS
Mantegaco barštis,lit,R07248,NOBANIS,,NOBANIS
Reuzenberenklauw,nld,R07248,NOBANIS,,NOBANIS
Riesen-bärenklau,deu,R07248,NOBANIS,,NOBANIS
