language,license,rightsHolder,institutionCode,datasetID,datasetName,taxonID,acceptedNameUsageID,scientificName,acceptedNameUsage,kingdom,taxonRank,taxonomicStatus
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,https://doi.org/10.15468/97aucj,List of Invasive Alien Species of Union concern,union-list:taxon:e75968a892a25181e92a7a16e2480191,union-list:taxon:e75968a892a25181e92a7a16e2480191,Acacia saligna (Labill.) H.L.Wendl.,Acacia saligna (Labill.) H.L.Wendl.,Plantae,species,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,https://doi.org/10.15468/97aucj,List of Invasive Alien Species of Union concern,union-list:taxon:49a114c68be9999ff8cb203bc418d9df,union-list:taxon:e75968a892a25181e92a7a16e2480191,Acacia cyanophylla Lindl.,Acacia saligna (Labill.) H.L.Wendl.,Plantae,species,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,https://doi.org/10.15468/97aucj,List of Invasive Alien Species of Union concern,union-list:taxon:88fab226290e72ddf6e538d934aa58a6,union-list:taxon:88fab226290e72ddf6e538d934aa58a6,"Acridotheres tristis Linnaeus, 1766","Acridotheres tristis Linnaeus, 1766",Animalia,species,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,https://doi.org/10.15468/97aucj,List of Invasive Alien Species of Union concern,union-list:taxon:dc1a9c7d8ecbea2c17659b65aac590ef,union-list:taxon:dc1a9c7d8ecbea2c17659b65aac590ef,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima (Mill.) Swingle,Plantae,species,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,https://doi.org/10.15468/97aucj,List of Invasive Alien Species of Union concern,union-list:taxon:52f42b74b3d05c74023d8a75c402989d,union-list:taxon:52f42b74b3d05c74023d8a75c402989d,"Alopochen aegyptiacus Linnaeus, 1766","Alopochen aegyptiacus Linnaeus, 1766",Animalia,species,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,https://doi.org/10.15468/97aucj,List of Invasive Alien Species of Union concern,union-list:taxon:b7674f5e6e0f6beed1f1360ed992f885,union-list:taxon:b7674f5e6e0f6beed1f1360ed992f885,Alternanthera philoxeroides (Mart.) Griseb.,Alternanthera philoxeroides (Mart.) Griseb.,Plantae,species,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,https://doi.org/10.15468/97aucj,List of Invasive Alien Species of Union concern,union-list:taxon:8aaacb40fb899153168d3ea045e724d2,union-list:taxon:8aaacb40fb899153168d3ea045e724d2,"Ameiurus melas (Rafinesque, 1820)","Ameiurus melas (Rafinesque, 1820)",Animalia,species,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,https://doi.org/10.15468/97aucj,List of Invasive Alien Species of Union concern,union-list:taxon:4849c38a09acc788fa58486f94c9f213,union-list:taxon:4849c38a09acc788fa58486f94c9f213,Andropogon virginicus L.,Andropogon virginicus L.,Plantae,species,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,https://doi.org/10.15468/97aucj,List of Invasive Alien Species of Union concern,union-list:taxon:19adb9e2d372d7a045d8b156690d3952,union-list:taxon:19adb9e2d372d7a045d8b156690d3952,"Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999)","Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999)",Animalia,species,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,https://doi.org/10.15468/97aucj,List of Invasive Alien Species of Union concern,union-list:taxon:a75a5b3dd389493da0a2d178ed1d304c,union-list:taxon:a75a5b3dd389493da0a2d178ed1d304c,Asclepias syriaca L.,Asclepias syriaca L.,Plantae,species,accepted
