scientific_name	scientific_name_synonym	english_name	dutch_name	french_name	german_name	entry_into_force	kingdom
Acacia saligna (Labill.) H.L.Wendl.	Acacia cyanophylla Lindl.	Golden wreath wattle	wilgacacia	mimosa bleuâtre	Weidenblatt-Akazie	15 August 2019	Plantae
Acridotheres tristis Linnaeus, 1766		Common myna	treurmaina	martin triste	Hirtenmaina	15 August 2019	Animalia
Ailanthus altissima (Mill.) Swingle		Tree of heaven	hemelboom	ailante glanduleux	Götterbaum	15 August 2019	Plantae
Alopochen aegyptiacus Linnaeus, 1766		Egyptian goose	nijlgans	ouette d'Égypte	Nilgans	2 August 2017	Animalia
Alternanthera philoxeroides (Mart.) Griseb.		Alligator weed	alligatorkruid	herbe à alligator	Alligatorkraut	2 August 2017	Plantae
Ameiurus melas (Rafinesque, 1820)		Black bullhead	zwarte dwergmeerval	poisson-chat commun	Schwarzer Zwergwels	2 August 2022	Animalia
Andropogon virginicus L.		Broomsedge bluestem	Amerikaans bezemgras	barbon de Virginie	Blaustängelige Besensegge	15 August 2019	Plantae
Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999)		New Zealand flatworm	nieuw-Zeelandse platworm	ver plat de Nouvelle-Zélande	Neuseeland-Plattwurm	15 August 2019	Animalia
Asclepias syriaca L.		Common milkweed	zijdeplant	asclépiade de Syrie	Gewöhnliche Seidenpflanze	2 August 2017	Plantae
Axis axis (Erxleben, 1777)		axis deer	Axishert	cerf axis	Axishirsch	2 August 2022	Animalia
Baccharis halimifolia L.		Eastern baccharis	struikaster	séneçon en arbre	Kreuzstrauch	3 August 2016	Plantae
Cabomba caroliniana Gray		Fanwort	waterwaaier	cabomba de Caroline	Karolina-Haarnixe	3 August 2016	Plantae
Callosciurus erythraeus Pallas, 1779		Pallas' squirrel	Pallas eekhoorn	écureuil de Pallas	Pallas-Schönhörnchen	3 August 2016	Animalia
Callosciurus finlaysonii (Horsfield, 1823)		Finlayson's squirrel	Thaise eekhoorn	écureuil de Finlayson	Finlayson-Hörnchen	2 August 2022	Animalia
Cardiospermum grandiflorum Sw.		Balloon vine	ballonrank	corinde à grandes fleurs	Ballonrebe	15 August 2019	Plantae
Celastrus orbiculatus Thunb.		Oriental bittersweet	Aziatische Boomwurger	célastre asiatique	Rundblättriger Baumwürger	2 August 2027	Plantae
Channa argus (Cantor, 1842)		northern snakehead	noordelijke slangekopvis	poisson à tête de serpent	Argus-Schlangenkopffisch	2 August 2022	Animalia
Cortaderia jubata (Lemoine ex Carrière) Stapf		Purple pampas grass	hoog pampasgras	herbe de la pampa pourpre	Andenpampasgras	15 August 2019	Plantae
Corvus splendens Viellot, 1817		Indian house crow	huiskraai	corbeau familier	Glanzkrähe	3 August 2016	Animalia
Ehrharta calycina Sm.		Perrenial veldt grass	roze rimpelgras	ehrharte calicinale	Ausdauerndes veldtgras	15 August 2019	Plantae
Eichhornia crassipes (Martius) Solms		Water hyacinth	waterhyacint	jacinthe d'eau	Wasserhyazinthe	3 August 2016	Plantae
Elodea nuttallii (Planch.) St. John		Nuttall's waterweed	smalle waterpest	élodée de Nuttall	Schmalblättrige Wasserpest	2 August 2017	Plantae
Eriocheir sinensis H. Milne Edwards, 1854		Chinese mittencrab	Chinese wolhandkrab	crabe chinois	Wollhandkrabbe	3 August 2016	Animalia
Faxonius rusticus (Girard, 1852)		rusty crayfish	roestbruine Amerikaanse Rivierkreeft	écrevisse à taches rouges	Amerikanischer Rostkrebs	2 August 2022	Animalia
Fundulus heteroclitus (Linnaeus, 1766)		mummichog	mummichog	choquemort	Blauband-Kärpfling;Zebra-Killifisch	2 August 2024	Animalia
Gambusia affinis (Baird & Girard, 1853)		western mosquitofish	westelijk muskietenvisje	gambusie de l’ouest	Westlicher Moskitofisch	2 August 2022	Animalia
Gambusia holbrooki Girard, 1859		eastern mosquitofish	oostelijk muskietenvisje	gambusie de l’est	Östliche Moskitofisch	2 August 2022	Animalia
Gunnera tinctoria (Molina) Mirbel		Chilean rhubarb	gewone gunnera;reuzenrabarber	rhubarbe géante du Chili	Chilenischer Riesenrhabarber	2 August 2017	Plantae
Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.		Senegal tea plant	smalle theeplant	faux hygrophile	Falscher wasserfreund	15 August 2019	Plantae
Hakea sericea Schrad. & J.C.Wendl.		bushy needlewood	hakea	hakéa soyeux	Nadelblättriges Nadelkissen	2 August 2022	Plantae
Heracleum mantegazzianum Sommier & Levier		Giant hogweed	reuzenberenklauw	berce du Caucase	Riesenbärenklau	2 August 2017	Plantae
Heracleum persicum Fischer		Persian hogweed	Perzische berenklauw	berce de Perse	Persischer Bärenklau	3 August 2016	Plantae
Heracleum sosnowskyi Mandenova		Sosnowsky's hogweed	Sosnowsky's berenklauw	berce de Sosnowsky	Sosnowskyi Bärenklau	3 August 2016	Plantae
Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818		Small Asian mongoose	Indische mangoeste	mangouste	Kleiner Mungo	3 August 2016	Animalia
Humulus scandens (Lour.) Merr.		Japanese hop	oosterse hop	houblon du Japon	Japanischer hopfen	15 August 2019	Plantae
Hydrocotyle ranunculoides L. f.		Floating pennywort	grote waternavel	hydrocotyle fausse-renoncule	Großer Wassernabel	3 August 2016	Plantae
Impatiens glandulifera Royle		Himalayan balsam	reuzenbalsemien	balsamine de l'Himalaya	Drüsiges springkraut	2 August 2017	Plantae
Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal		Himalayan knotweed	Afghaanse duizendknoop	renouée à nombreux épis	Himalaja-Knöterich	2 August 2022	Plantae
Lagarosiphon major (Ridley) Moss		Curly waterweed	verspreidbladige waterpest	élodée à feuilles alternes	Wechselblatt-Wasserpest	3 August 2016	Plantae
Lampropeltis getula (Linnaeus, 1766)		common kingsnake	koningsslang	serpent roi de Californie	Ketten-Königsnatter	12 July 2022	Animalia
Lepomis gibbosus Linnaeus, 1758		Pumpkinseed	zonnebaars	perche soleil 	Gemeiner sonnenbarsch	15 August 2019	Animalia
Lespedeza cuneata (Dum.Cours.) G.Don	Lespedeza juncea var. sericea (Thunb.) Lace & Hauech	Chinese bushclover	Chinese struikklaver	lespédéza soyeux	Japanischer klee	15 August 2019	Plantae
Limnoperna fortunei (Dunker, 1857)		golden mussel	gouden mossel	moule pygmée		2 August 2022	Animalia
Lithobates catesbeianus Shaw, 1802	Rana catesbeiana Shaw, 1802	American bullfrog	Amerikaanse stierkikker;brulkikker	grenouille taureau	Amerikanischer Ochsenfrosch	3 August 2016	Animalia
Ludwigia grandiflora (Michx.) Greuter & Burdet		Water-primrose	waterteunisbloem	jussie à grandes fleurs	Großblütiges Heusenkraut	3 August 2016	Plantae
Ludwigia peploides (Kunth) P.H. Raven		Floating primrose-willow	kleine waterteunisbloem	jussie rampante	Flutendes Heusenkraut	3 August 2016	Plantae
Lygodium japonicum (Thunb.) Sw.		Vine-like fern	Japanse klimvaren	fougère grimpante du Japon	Japanischer kletterfarn	15 August 2019	Plantae
Lysichiton americanus Hultén and St. John		American skunk cabbage	moerasaronskelk	faux arum	Gelbe Scheincalla	3 August 2016	Plantae
Microstegium vimineum (Trin.) A. Camus		Japanese stiltgrass	Japans steltgras	herbe à échasses japonaise	Japanisches stelzengras	2 August 2017	Plantae
Morone americana (Gmelin, 1789)		white perch	Amerikaanse baars	bar blanc d’Amérique	Amerikanische Kermesbeere	2 August 2022	Animalia
Muntiacus reevesi Ogilby, 1839		Muntjac deer	Chinese muntjak	muntjac de Chine	Chinesischer Muntjak	3 August 2016	Animalia
Myocastor coypus Molina, 1782		Coypu	beverrat	ragondin	Nutria	3 August 2016	Animalia
Myriophyllum aquaticum (Vell.) Verdc.		Parrot's feather	parelvederkruid	myriophylle du Brésil	Brasilianisches Tausendblatt	3 August 2016	Plantae
Myriophyllum heterophyllum Michaux		Broadleaf watermilfoil	ongelijkbladig vederkruid	myriophylle hétérophylle	Verschiedenblättriges Tausendblatt	2 August 2017	Plantae
Nasua nasua Linnaeus, 1766		Coati rode	neusbeer	coati roux	Roter Nasenbär	3 August 2016	Animalia
Nyctereutes procyonoides Gray, 1834		Raccoon dog	wasbeerhond	chien viverrin	Marderhund	2 February 2019	Animalia
Ondatra zibethicus Linnaeus, 1766		Muskrat	muskusrat	rat musqué	Bisam	2 August 2017	Animalia
Orconectes limosus Rafinesque, 1817	Faxonius limosus Rafinesque, 1817	Spiny-cheek crayfish	gevlekte rivierkreeft	écrevisse américaine	Kamberkrebs	3 August 2016	Animalia
Orconectes virilis Hagen, 1870	Faxonius virilis Hagen, 1870	Virile crayfish	geknobbelde Amerikaanse rivierkreeft	écrevisse à pinces bleues	Viril-Flusskrebs	3 August 2016	Animalia
Oxyura jamaicensis Gmelin, 1789		Ruddy duck	rosse stekelstaart	érismature rousse	Schwarzkopf-Ruderente	3 August 2016	Animalia
Pacifastacus leniusculus Dana, 1852		Signal crayfish	Californische rivierkreeft	écrevisse signal	Signalkrebs	3 August 2016	Animalia
Parthenium hysterophorus L.		Whitetop weed	schijnambrosia	fausse camomille	Karottenkraut	3 August 2016	Plantae
Pennisetum setaceum (Forssk.) Chiov.		Crimson fountaingrass	fraai lampenpoetsersgras	herbe aux écouvillons pourpres	Afrikanisches Lampenputzergras	2 August 2017	Plantae
Perccottus glenii Dybowski, 1877		Amur sleeper	amoergrondel	goujon de l'amour	Amur-Schläfergrundel	3 August 2016	Animalia
Persicaria perfoliata (L.) H. Gross	Polygonum perfoliatum L.	Asiatic tearthumb	gestekelde duizendknoop	renouée perfoliée	Durchwachsener Knöterich	3 August 2016	Plantae
Pistia stratiotes L.		water lettuce	watersla	laitue d’eau	Wassersalat	2 August 2024	Plantae
Plotosus lineatus (Thunberg, 1787)		Striped eel catfish	gestreepte koraalmeerval	poisson-chat-rayé	Gestreifter korallenwels	15 August 2019	Animalia
Procambarus clarkii Girard, 1852		Red swamp crayfish	rode Amerikaanse rivierkreeft	écrevisse de Louisiane	Roter Amerikanischer Sumpfkrebs	3 August 2016	Animalia
Procambarus fallax (Hagen, 1870) f. virginalis	Procambarus virginalis Lyko, 2017	Marbled crayfish	marmerkreeft	écrevisse marbrée	Marmorkrebs	3 August 2016	Animalia
Procyon lotor Linnaeus, 1758		Raccoon	wasbeer	raton laveur	Waschbär	3 August 2016	Animalia
Prosopis juliflora (Sw.) DC.		Mesquite	mesquite	bayahonde	Mesquite-strauch	15 August 2019	Plantae
Pseudorasbora parva Temminck & Schlegel, 1846		Stone moroko	blauwbandgrondel	goujon Asiatique	Blaubandbärbling	3 August 2016	Animalia
Pueraria montana (Lour.) Merr. var. lobata (Willd.)	Pueraria lobata (Willd.) Ohwi	Kudzu vine	kudzu	kudzu	Kudzu	3 August 2016	Plantae
Pycnonotus cafer (Linnaeus, 1766)		red-vented bulbul	roodbuikbuulbuul	bulbul à ventre rouge	Rotsteißbülbül	2 August 2022	Animalia
Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009		algae stomp	gaffelwier	algue brune du Japon	Meeresalge	2 August 2022	Chromista
Salvinia molesta D.S.Mitch.	Salvinia adnata Desv.	Salvinia moss;kariba weed	grote vlotvaren	salvinie géante	Riesen-schwimmfarn	15 August 2019	Plantae
Sciurus carolinensis Gmelin, 1788		Grey squirrel	grijze eekhoorn	écureuil gris	Grauhörnchen	3 August 2016	Animalia
Sciurus niger Linnaeus, 1758		Fox squirrel	Amerikaanse voseekhoorn	écureuil fauve	Fuchshörnchen	3 August 2016	Animalia
Solenopsis geminata (Fabricius, 1804)		tropical imported fire ant	tropische vuurmier	fourmi de feu tropicale	Tropische Feuerameise	2 August 2022	Animalia
Solenopsis invicta Buren, 1972		red imported fire ant	rode vuurmier	grande fourmi de feu	Rote Feuerameise	2 August 2022	Animalia
Solenopsis richteri Forel, 1909		black imported fire ant	zwarte vuurmier	fourmi de feu noire	Schwarze feuerameise	2 August 2022	Animalia
Tamias sibiricus Laxmann, 1769		Siberian chipmunk	Siberische grondeekhoorn	tamia de Sibérie	Sibirisches Streifenhörnchen	3 August 2016	Animalia
Threskiornis aethiopicus Latham, 1790		Sacred ibis	heilige ibis	ibis sacré	Heiliger Ibis	3 August 2016	Animalia
Trachemys scripta Schoepff, 1792		Red-eared, yellow-bellied and Cumberland sliders	lettersierschildpad	tortue de Floride	Buchstaben-Schmuckschildkröte	3 August 2016	Animalia
Triadica sebífera (L.) Small	Sapium sebiferum (L.) Roxb.	Chinese tallow	talgboom	arbre à suif	Chinesischer Talgbaum	15 August 2019	Plantae
Vespa velutina nigrithorax de Buysson, 1905		Asian hornet	Aziatische hoornaar	frelon asiatique	Asiatische Hornisse	3 August 2016	Animalia
Wasmannia auropunctata (Roger, 1863)		little fire ant	dwergvuurmier	petite fourmi de feu	Kleine Feuerameise	2 August 2022	Animalia
Xenopus laevis (Daudin, 1802)		African clawed frog	Afrikaanse klauwkikker	xénope lisse	Glatte Krallenfrosch	2 August 2024	Animalia
Acacia mearnsii De Wild., Pl. Bequaert. 3: 61 (1925)		Black wattle	bleekgele acacia	acacia noir	schwarze Akazie	7 August 2025	Plantae
Acridotheres cristatellus(Linnaeus, 1758)		Crested myna	kuifmaina	martin huppé	Haubenmaina	7 August 2025	Animalia	
Asterias amurensis Lutken, 1871		Northern pacific seastar	Noord-Atlantische zeester	Étoile de mer du Pacifique Nord	Nordpazifischer Seestern	7 August 2025	Animalia
